"age" "job" "marital" "education" "default" "balance" "housing" "loan" "contact" "day" "month" "duration" "campaign" "pdays" "previous" "y"
30 "blue-collar" "single" "secondary" "yes" 260 "yes" "no" "unknown" 21 "may" 412 1 -1 0 "yes"
43 "management" "divorced" "tertiary" "no" 540 "no" "no" "teleph" 13 "may" 66 1 363 22 "no"
42 "blue-collar" "married" "secondary" "no" 195 "yes" "no" "teleph" 17 "nov" 96 1 -1 0 "no"
30 "admin." "single" "tertiary" "no" 332 "no" "no" "teleph" 30 "apr" 633 1 85 2 "yes"
33 "management" "single" "tertiary" "no" -73 "yes" "no" "unknown" 5 "may" 364 1 -1 0 "no"
41 "admin." "married" "secondary" "no" 4934 "no" "no" "unknown" 30 "may" 298 3 -1 0 "no"
29 "blue-collar" "single" "secondary" "no" 837 "yes" "no" "teleph" 17 "apr" 341 1 -1 0 "no"
38 "unemployed" "married" "secondary" "no" -732 "yes" "no" "unknown" 26 "may" 364 1 -1 0 "no"
29 "technician" "married" "tertiary" "no" 933 "yes" "no" "teleph" 12 "jun" 234 7 330 1 "no"
80 "housemaid" "married" "primary" "no" 0 "no" "no" "teleph" 23 "feb" 639 1 189 1 "yes"
38 "management" "single" "tertiary" "no" 5700 "no" "no" "teleph" 8 "aug" 310 4 -1 0 "no"
36 "blue-collar" "divorced" "primary" "no" 127 "yes" "no" "unknown" 2 "jun" 123 4 -1 0 "no"
38 "self-employed" "married" "tertiary" "no" 920 "no" "no" "teleph" 2 "jun" 253 1 -1 0 "no"
44 "management" "married" "secondary" "yes" 0 "yes" "no" "teleph" 11 "jul" 96 2 -1 0 "no"
31 "management" "married" "tertiary" "no" 1447 "no" "no" "teleph" 30 "apr" 297 1 86 3 "yes"
31 "services" "single" "secondary" "no" 34 "yes" "yes" "unknown" 26 "may" 501 2 -1 0 "no"
57 "admin." "divorced" "primary" "no" 195 "yes" "no" "teleph" 15 "may" 67 1 368 2 "no"
37 "blue-collar" "married" "primary" "no" 590 "yes" "no" "unknown" 21 "may" 281 1 -1 0 "no"
50 "blue-collar" "married" "secondary" "no" 275 "yes" "yes" "teleph" 5 "may" 475 2 -1 0 "no"
60 "retired" "married" "primary" "no" 77378 "no" "no" "teleph" 6 "oct" 205 1 -1 0 "no"
51 "management" "married" "tertiary" "no" 5552 "yes" "no" "teleph" 8 "oct" 272 1 102 8 "no"
48 "blue-collar" "married" "secondary" "no" 1889 "yes" "no" "teleph" 15 "apr" 349 1 -1 0 "no"
42 "blue-collar" "married" "primary" "no" -105 "yes" "no" "teleph" 3 "feb" 216 4 271 5 "no"
36 "blue-collar" "married" "secondary" "no" 216 "yes" "no" "teleph" 9 "jul" 183 1 -1 0 "no"
43 "management" "married" "tertiary" "no" 532 "yes" "no" "teleph" 8 "may" 130 1 172 2 "no"
31 "admin." "married" "primary" "no" 386 "yes" "yes" "unknown" 4 "jun" 61 6 -1 0 "no"
49 "technician" "single" "secondary" "no" -105 "yes" "no" "unknown" 6 "jun" 92 2 -1 0 "no"
35 "management" "divorced" "tertiary" "no" 514 "no" "yes" "teleph" 5 "aug" 37 2 -1 0 "no"
44 "entrepreneur" "married" "secondary" "no" 7227 "yes" "no" "teleph" 19 "nov" 354 2 -1 0 "no"
34 "self-employed" "married" "tertiary" "no" 286 "no" "no" "teleph" 4 "may" 203 1 78 8 "no"
46 "blue-collar" "married" "secondary" "no" 849 "no" "no" "unknown" 13 "may" 152 1 -1 0 "no"
49 "blue-collar" "married" "primary" "no" 1122 "yes" "no" "unknown" 2 "jun" 41 5 -1 0 "no"
32 "blue-collar" "married" "secondary" "no" 129 "no" "no" "teleph" 4 "may" 20 5 -1 0 "no"
35 "management" "divorced" "tertiary" "no" 472 "yes" "no" "teleph" 11 "may" 277 1 271 2 "no"
51 "admin." "married" "secondary" "no" 3225 "no" "no" "unknown" 17 "jun" 83 2 -1 0 "no"
57 "retired" "divorced" "secondary" "no" -360 "yes" "no" "unknown" 6 "may" 531 1 -1 0 "no"
59 "management" "married" "tertiary" "no" 1723 "no" "no" "teleph" 28 "aug" 91 5 -1 0 "no"
40 "services" "divorced" "unknown" "no" 4765 "yes" "no" "unknown" 5 "may" 315 1 -1 0 "no"
49 "management" "single" "tertiary" "no" 639 "no" "no" "teleph" 28 "aug" 70 9 -1 0 "no"
51 "management" "married" "secondary" "no" 3457 "yes" "no" "teleph" 9 "jul" 384 1 -1 0 "no"
35 "admin." "married" "secondary" "yes" 0 "no" "yes" "unknown" 4 "jul" 105 3 -1 0 "no"
29 "self-employed" "married" "secondary" "no" -83 "yes" "no" "unknown" 27 "may" 305 2 -1 0 "no"
32 "services" "single" "secondary" "no" 165 "yes" "no" "teleph" 25 "may" 158 2 -1 0 "yes"
37 "housemaid" "divorced" "secondary" "no" 1130 "yes" "no" "teleph" 13 "may" 199 1 173 2 "no"
49 "unemployed" "married" "primary" "no" -417 "yes" "no" "unknown" 27 "may" 25 1 -1 0 "no"
45 "technician" "married" "unknown" "no" 514 "yes" "no" "unknown" 27 "may" 147 1 -1 0 "no"
34 "technician" "single" "secondary" "no" 516 "yes" "no" "teleph" 29 "jul" 538 8 -1 0 "no"
53 "technician" "married" "secondary" "no" 0 "no" "no" "teleph" 22 "aug" 77 9 -1 0 "no"
42 "entrepreneur" "married" "primary" "no" 162 "no" "no" "teleph" 20 "aug" 94 2 -1 0 "no"
43 "technician" "married" "secondary" "no" 3571 "yes" "no" "unknown" 13 "may" 1721 2 -1 0 "yes"
52 "retired" "married" "secondary" "no" 461 "no" "no" "teleph" 19 "nov" 143 1 154 3 "no"
34 "blue-collar" "single" "secondary" "no" 86 "no" "yes" "teleph" 20 "nov" 104 1 -1 0 "no"
34 "technician" "divorced" "tertiary" "no" 733 "yes" "no" "teleph" 7 "aug" 587 2 -1 0 "yes"
27 "services" "married" "secondary" "no" 0 "yes" "no" "teleph" 22 "jul" 1608 13 -1 0 "yes"
43 "unemployed" "married" "tertiary" "no" 63 "yes" "no" "teleph" 9 "feb" 48 4 -1 0 "no"
41 "technician" "married" "tertiary" "no" 578 "yes" "no" "teleph" 9 "jul" 74 1 -1 0 "no"
72 "retired" "married" "secondary" "no" 4489 "no" "no" "teleph" 12 "nov" 427 1 -1 0 "no"
35 "blue-collar" "married" "primary" "no" 459 "yes" "no" "teleph" 14 "may" 73 1 -1 0 "no"
41 "management" "married" "tertiary" "no" 475 "yes" "no" "unknown" 3 "jun" 14 21 -1 0 "no"
36 "blue-collar" "divorced" "primary" "no" -335 "yes" "no" "teleph" 12 "may" 725 1 -1 0 "yes"
51 "housemaid" "married" "primary" "no" 33 "yes" "no" "teleph" 14 "jul" 333 2 -1 0 "no"
37 "self-employed" "married" "tertiary" "no" 149 "no" "no" "teleph" 13 "aug" 244 6 -1 0 "no"
42 "admin." "single" "secondary" "no" -268 "yes" "yes" "teleph" 21 "oct" 519 1 166 1 "yes"
26 "admin." "single" "secondary" "no" 349 "yes" "no" "teleph" 22 "jul" 242 7 -1 0 "no"
23 "services" "single" "secondary" "no" 272 "yes" "no" "teleph" 18 "may" 222 1 -1 0 "no"
50 "management" "married" "tertiary" "no" -511 "yes" "no" "teleph" 19 "nov" 130 2 160 1 "no"
37 "blue-collar" "married" "secondary" "no" 152 "yes" "yes" "teleph" 7 "may" 490 1 -1 0 "no"
35 "management" "married" "tertiary" "no" 3036 "no" "no" "teleph" 20 "nov" 258 2 -1 0 "no"
37 "management" "married" "tertiary" "no" 446 "no" "no" "teleph" 29 "jan" 337 2 -1 0 "no"
79 "retired" "divorced" "unknown" "no" 2857 "no" "no" "teleph" 8 "jul" 220 7 450 2 "no"
39 "technician" "married" "secondary" "no" 126 "no" "no" "teleph" 24 "aug" 79 2 94 2 "no"
47 "services" "married" "secondary" "no" 0 "yes" "no" "teleph" 9 "jul" 250 1 -1 0 "no"
44 "blue-collar" "married" "secondary" "no" 954 "yes" "no" "teleph" 2 "jun" 130 1 -1 0 "no"
36 "management" "single" "tertiary" "no" 3200 "no" "no" "teleph" 18 "aug" 882 8 -1 0 "yes"
33 "blue-collar" "single" "secondary" "no" 4321 "yes" "yes" "teleph" 17 "apr" 515 1 150 1 "no"
42 "services" "married" "secondary" "no" 104 "yes" "no" "teleph" 5 "may" 238 3 340 2 "no"
35 "technician" "single" "tertiary" "no" 2487 "no" "no" "teleph" 28 "may" 32 2 -1 0 "no"
31 "blue-collar" "married" "secondary" "no" 513 "yes" "no" "unknown" 13 "may" 907 2 -1 0 "no"
58 "services" "married" "primary" "no" 71 "no" "no" "unknown" 27 "jun" 162 1 -1 0 "no"
46 "management" "married" "tertiary" "no" 0 "no" "no" "unknown" 7 "may" 70 2 -1 0 "no"
41 "admin." "single" "secondary" "no" 435 "yes" "no" "unknown" 4 "jun" 99 6 -1 0 "no"
58 "technician" "married" "secondary" "no" 8147 "yes" "no" "unknown" 13 "may" 325 1 -1 0 "no"
33 "blue-collar" "married" "secondary" "no" 149 "no" "yes" "teleph" 18 "jul" 305 12 -1 0 "no"
31 "unemployed" "married" "secondary" "no" 26 "yes" "no" "teleph" 19 "nov" 631 1 -1 0 "no"
55 "technician" "divorced" "secondary" "no" 3750 "no" "no" "teleph" 10 "feb" 169 1 183 1 "yes"
38 "technician" "single" "secondary" "no" 338 "yes" "no" "teleph" 28 "may" 61 2 -1 0 "no"
55 "housemaid" "married" "secondary" "no" 151 "no" "no" "teleph" 22 "aug" 256 2 -1 0 "no"
47 "management" "single" "tertiary" "no" 0 "no" "no" "unknown" 11 "jun" 58 3 -1 0 "no"
51 "housemaid" "married" "primary" "no" 535 "yes" "no" "unknown" 20 "may" 142 3 -1 0 "no"
46 "management" "single" "tertiary" "no" 363 "yes" "no" "teleph" 4 "may" 36 6 90 2 "no"
61 "management" "married" "tertiary" "no" 1084 "no" "no" "teleph" 10 "mar" 106 1 -1 0 "yes"
47 "management" "single" "tertiary" "no" 478 "no" "no" "teleph" 21 "aug" 71 4 -1 0 "no"
34 "technician" "married" "secondary" "no" 51 "no" "no" "teleph" 25 "aug" 132 6 -1 0 "no"
34 "blue-collar" "married" "secondary" "no" 1411 "yes" "no" "unknown" 20 "may" 120 1 -1 0 "no"
41 "management" "divorced" "tertiary" "no" 3647 "no" "no" "teleph" 14 "oct" 181 2 500 1 "no"
36 "blue-collar" "divorced" "secondary" "no" -12 "no" "no" "unknown" 5 "jun" 152 2 -1 0 "no"
26 "blue-collar" "single" "secondary" "no" 430 "yes" "no" "unknown" 28 "may" 302 1 -1 0 "no"
35 "management" "married" "tertiary" "no" 9 "no" "no" "teleph" 23 "apr" 93 3 -1 0 "yes"
36 "blue-collar" "married" "secondary" "no" 1532 "no" "no" "unknown" 17 "jun" 235 2 -1 0 "no"
26 "management" "single" "tertiary" "no" 185 "no" "no" "teleph" 15 "jun" 129 1 -1 0 "yes"
58 "management" "married" "primary" "no" 3010 "yes" "no" "teleph" 11 "jul" 94 2 -1 0 "no"
50 "blue-collar" "married" "secondary" "no" 2522 "yes" "no" "teleph" 7 "apr" 310 1 -1 0 "no"
61 "retired" "married" "secondary" "no" 83 "yes" "no" "teleph" 15 "jul" 195 7 -1 0 "no"
28 "technician" "single" "secondary" "no" 2211 "yes" "no" "unknown" 21 "may" 196 1 -1 0 "no"
49 "blue-collar" "single" "primary" "no" 3280 "yes" "no" "unknown" 15 "may" 93 1 -1 0 "no"
74 "retired" "married" "secondary" "no" 1001 "no" "no" "teleph" 17 "apr" 394 2 -1 0 "yes"
53 "blue-collar" "married" "secondary" "no" 525 "yes" "no" "teleph" 3 "feb" 288 3 -1 0 "no"
46 "self-employed" "married" "secondary" "no" 424 "yes" "no" "teleph" 31 "jul" 208 2 -1 0 "no"
47 "management" "married" "tertiary" "no" 0 "no" "no" "teleph" 27 "oct" 508 1 -1 0 "yes"
42 "blue-collar" "single" "primary" "no" 100 "no" "no" "teleph" 30 "jul" 86 2 -1 0 "no"
56 "services" "married" "secondary" "no" 24126 "yes" "no" "teleph" 21 "nov" 189 1 -1 0 "no"
42 "technician" "married" "secondary" "no" 2 "no" "no" "unknown" 29 "may" 249 2 -1 0 "no"
49 "housemaid" "married" "primary" "no" 271 "yes" "no" "teleph" 21 "nov" 450 1 -1 0 "no"
43 "unemployed" "single" "unknown" "no" 3559 "yes" "no" "teleph" 22 "may" 680 1 95 1 "no"
39 "services" "married" "secondary" "no" 6229 "yes" "no" "unknown" 20 "may" 175 2 -1 0 "no"
66 "retired" "married" "primary" "no" 224 "no" "no" "teleph" 9 "feb" 479 1 -1 0 "yes"
30 "technician" "single" "tertiary" "no" 2527 "no" "no" "teleph" 5 "apr" 270 3 241 4 "no"
38 "management" "single" "tertiary" "no" 0 "no" "no" "teleph" 24 "jul" 164 1 -1 0 "no"
31 "blue-collar" "married" "secondary" "no" 1809 "yes" "no" "teleph" 20 "apr" 158 1 182 1 "no"
32 "technician" "married" "secondary" "no" 3623 "no" "no" "teleph" 8 "aug" 50 4 -1 0 "no"
48 "technician" "married" "secondary" "no" 7630 "no" "no" "teleph" 6 "aug" 80 2 -1 0 "no"
34 "admin." "married" "tertiary" "no" 40 "no" "no" "teleph" 6 "feb" 45 1 -1 0 "no"
28 "student" "single" "secondary" "no" 30 "no" "no" "teleph" 29 "jan" 220 2 -1 0 "no"
40 "admin." "single" "secondary" "no" 1815 "yes" "no" "unknown" 18 "jun" 161 2 -1 0 "no"
36 "entrepreneur" "married" "secondary" "no" 146 "no" "no" "unknown" 20 "may" 98 1 -1 0 "no"
52 "retired" "married" "secondary" "no" 655 "no" "yes" "unknown" 9 "jun" 79 1 -1 0 "no"
46 "admin." "married" "primary" "no" 300 "yes" "yes" "unknown" 6 "may" 157 2 -1 0 "no"
25 "technician" "single" "secondary" "no" 2345 "yes" "no" "teleph" 21 "jul" 339 1 -1 0 "no"
52 "blue-collar" "married" "secondary" "no" 175 "yes" "no" "unknown" 13 "may" 274 2 -1 0 "no"
40 "blue-collar" "married" "primary" "no" 3976 "yes" "no" "unknown" 14 "may" 977 1 -1 0 "no"
26 "management" "divorced" "tertiary" "yes" -437 "no" "yes" "unknown" 12 "may" 127 2 -1 0 "no"
26 "blue-collar" "single" "primary" "no" 3633 "yes" "no" "unknown" 4 "jun" 329 4 -1 0 "no"
35 "self-employed" "single" "secondary" "no" 1883 "no" "no" "teleph" 21 "nov" 1441 3 -1 0 "no"
40 "admin." "single" "secondary" "no" 286 "yes" "no" "unknown" 6 "may" 231 1 -1 0 "no"
31 "management" "married" "tertiary" "no" 677 "yes" "no" "teleph" 13 "may" 96 2 349 5 "no"
32 "admin." "married" "secondary" "no" 3848 "yes" "no" "teleph" 18 "may" 213 1 178 1 "no"
33 "admin." "married" "secondary" "no" 103 "yes" "no" "teleph" 30 "apr" 335 1 -1 0 "yes"
53 "services" "divorced" "secondary" "no" 832 "yes" "no" "teleph" 14 "may" 959 3 174 7 "yes"
46 "technician" "divorced" "secondary" "no" -896 "yes" "no" "teleph" 7 "aug" 429 3 -1 0 "yes"
28 "management" "single" "tertiary" "no" 6032 "no" "no" "teleph" 28 "jul" 383 6 -1 0 "no"
31 "blue-collar" "married" "secondary" "no" 208 "yes" "no" "unknown" 2 "jun" 40 1 -1 0 "no"
44 "blue-collar" "married" "primary" "no" 457 "yes" "no" "unknown" 7 "may" 110 2 -1 0 "no"
35 "admin." "married" "secondary" "no" 0 "no" "no" "unknown" 7 "may" 326 1 -1 0 "no"
50 "technician" "divorced" "unknown" "no" 2941 "yes" "no" "unknown" 28 "may" 179 3 -1 0 "no"
32 "technician" "married" "secondary" "yes" 4 "yes" "yes" "teleph" 25 "aug" 132 8 -1 0 "no"
51 "admin." "married" "secondary" "no" 460 "yes" "yes" "teleph" 16 "oct" 95 1 -1 0 "no"
51 "management" "married" "tertiary" "no" -970 "yes" "yes" "teleph" 14 "aug" 248 2 -1 0 "no"
31 "blue-collar" "married" "unknown" "no" -130 "yes" "no" "teleph" 3 "feb" 100 3 201 2 "no"
41 "admin." "divorced" "secondary" "no" -397 "yes" "no" "unknown" 28 "may" 226 10 -1 0 "no"
57 "technician" "married" "tertiary" "no" 29423 "no" "yes" "unknown" 20 "jun" 174 3 -1 0 "no"
34 "management" "single" "tertiary" "no" 8737 "yes" "no" "teleph" 20 "apr" 29 3 152 1 "no"
47 "technician" "married" "secondary" "no" -1020 "yes" "no" "unknown" 28 "may" 176 2 -1 0 "no"
47 "admin." "divorced" "secondary" "no" 1238 "yes" "no" "teleph" 11 "jul" 106 2 -1 0 "no"
36 "self-employed" "married" "secondary" "no" 205 "yes" "no" "teleph" 19 "nov" 136 1 120 1 "no"
29 "housemaid" "single" "tertiary" "no" 21 "no" "no" "teleph" 5 "feb" 110 2 64 2 "yes"
39 "technician" "married" "secondary" "no" 3982 "no" "no" "teleph" 11 "aug" 230 3 -1 0 "no"
53 "blue-collar" "single" "unknown" "no" 0 "no" "no" "unknown" 12 "may" 140 7 -1 0 "no"
47 "blue-collar" "married" "secondary" "yes" -667 "yes" "no" "unknown" 26 "may" 118 2 -1 0 "no"
51 "technician" "divorced" "secondary" "no" 2525 "yes" "yes" "teleph" 18 "aug" 151 10 -1 0 "no"
48 "blue-collar" "married" "secondary" "no" 462 "yes" "no" "teleph" 9 "jul" 693 2 -1 0 "no"
32 "technician" "married" "secondary" "no" 5567 "no" "no" "teleph" 13 "aug" 31 1 -1 0 "no"
36 "management" "divorced" "tertiary" "no" 661 "no" "no" "teleph" 26 "aug" 125 2 -1 0 "no"
50 "unknown" "married" "primary" "no" 371 "yes" "yes" "teleph" 20 "apr" 670 4 340 2 "yes"
39 "admin." "married" "secondary" "no" 660 "yes" "no" "teleph" 12 "may" 454 2 364 3 "yes"
31 "blue-collar" "married" "secondary" "no" 1625 "yes" "yes" "unknown" 23 "may" 159 3 -1 0 "no"
49 "admin." "married" "secondary" "no" 414 "no" "no" "teleph" 5 "aug" 504 2 -1 0 "no"
33 "unemployed" "divorced" "secondary" "no" 418 "no" "no" "teleph" 27 "aug" 29 28 -1 0 "no"
26 "management" "single" "tertiary" "no" 1385 "yes" "no" "teleph" 1 "jun" 190 1 84 1 "no"
27 "blue-collar" "married" "secondary" "no" 393 "yes" "no" "unknown" 14 "may" 332 2 -1 0 "no"
51 "blue-collar" "married" "primary" "no" 410 "yes" "no" "teleph" 3 "feb" 143 4 272 1 "no"
26 "admin." "single" "secondary" "no" 872 "no" "no" "teleph" 30 "jan" 77 1 2 2 "no"
45 "admin." "married" "secondary" "no" 211 "no" "no" "teleph" 31 "jul" 517 4 -1 0 "no"
54 "technician" "married" "secondary" "no" -342 "no" "yes" "teleph" 10 "jul" 2029 1 -1 0 "yes"
49 "technician" "married" "tertiary" "no" 2003 "yes" "no" "teleph" 25 "may" 269 1 -1 0 "no"
47 "technician" "married" "secondary" "no" -10 "no" "no" "teleph" 14 "aug" 457 2 -1 0 "no"
42 "housemaid" "married" "primary" "no" 90 "no" "yes" "teleph" 7 "aug" 184 1 -1 0 "no"
