"age","job","marital","education","default","balance","housing","loan","day","month","duration","campaign","pdays","previous","y"
34,"blue-collar","married","primary","no",522.988505747126,"yes","no",20,"jun",372,3,-1,0,"no"
27,"services","single","secondary","no",-224.137931034483,"yes","no",18,"may",391,1,-1,0,"yes"
32,"management","single","tertiary","no",4156.32183908046,"no","no",14,"aug",165,2,-1,0,"no"
57,"blue-collar","married","secondary","no",16198.8505747126,"no","no",11,"aug",231,5,-1,0,"no"
41,"unknown","single","tertiary","no",1801.14942528736,"no","no",1,"jul",291,2,-1,0,"no"
41,"admin.","married","tertiary","no",6236.7816091954,"yes","no",14,"may",149,2,-1,0,"no"
30,"admin.","single","tertiary","no",300,"no","no",19,"oct",233,1,137,20,"no"
36,"blue-collar","divorced","secondary","no",3267.81609195402,"no","no",12,"feb",473,1,182,1,"no"
31,"unemployed","single","primary","no",466.666666666667,"no","no",4,"feb",736,1,-1,0,"yes"
36,"blue-collar","married","secondary","no",0,"yes","no",6,"may",337,1,-1,0,"no"
38,"management","single","tertiary","no",566.666666666667,"yes","no",11,"may",553,1,367,7,"no"
49,"technician","married","secondary","no",6891.95402298851,"no","no",21,"nov",345,2,-1,0,"no"
57,"services","single","primary","no",4341.37931034483,"yes","no",13,"may",65,2,-1,0,"no"
34,"management","single","secondary","no",602.298850574713,"no","no",13,"aug",9,1,-1,0,"no"
32,"management","single","tertiary","no",659.770114942529,"yes","no",14,"apr",259,2,145,3,"no"
37,"blue-collar","married","secondary","no",490.804597701149,"yes","yes",9,"jun",371,3,-1,0,"no"
33,"self-employed","married","tertiary","no",555.172413793103,"yes","no",3,"feb",280,2,-1,0,"no"
56,"unemployed","married","primary","no",3897.70114942529,"no","no",21,"apr",243,1,-1,0,"yes"
27,"housemaid","married","primary","no",0,"yes","no",23,"jul",435,3,-1,0,"no"
21,"student","single","secondary","no",2859.77011494253,"no","no",30,"jun",258,6,169,3,"yes"
58,"management","married","tertiary","no",1743.67816091954,"yes","no",29,"jul",7,5,-1,0,"no"
32,"self-employed","married","secondary","no",249.425287356322,"yes","yes",15,"jul",317,5,-1,0,"no"
33,"blue-collar","single","secondary","no",25.2873563218391,"no","no",30,"jan",76,2,207,1,"no"
25,"student","single","secondary","no",380.459770114943,"no","no",26,"aug",170,4,-1,0,"yes"
25,"technician","single","secondary","no",580.459770114943,"no","yes",17,"nov",386,2,-1,0,"yes"
30,"services","married","secondary","no",2078.16091954023,"yes","no",18,"may",83,2,-1,0,"no"
22,"admin.","single","secondary","no",4725.28735632184,"no","yes",19,"aug",65,1,-1,0,"no"
39,"blue-collar","married","primary","no",59.7701149425287,"no","no",13,"aug",69,1,-1,0,"no"
46,"management","divorced","tertiary","no",28.735632183908,"no","no",17,"jun",564,2,-1,0,"no"
31,"admin.","divorced","secondary","no",2172.41379310345,"yes","no",21,"jul",588,1,-1,0,"no"
45,"blue-collar","married","primary","no",481.609195402299,"no","no",18,"aug",113,4,-1,0,"no"
32,"technician","married","secondary","no",3095.40229885057,"yes","no",21,"may",16,1,-1,0,"no"
36,"blue-collar","married","secondary","no",-265.51724137931,"no","yes",15,"jul",779,2,-1,0,"no"
51,"management","single","tertiary","yes",-63.2183908045977,"yes","no",11,"may",281,2,266,6,"no"
34,"self-employed","single","tertiary","no",531.034482758621,"no","no",21,"aug",1877,3,-1,0,"yes"
24,"unemployed","single","secondary","no",136.781609195402,"no","no",15,"sep",51,1,-1,0,"no"
45,"technician","single","secondary","no",673.563218390805,"no","yes",28,"jul",32,3,-1,0,"no"
32,"blue-collar","single","secondary","no",262.068965517241,"no","no",5,"feb",176,1,288,3,"no"
77,"retired","divorced","tertiary","no",5355.1724137931,"no","no",14,"apr",161,1,-1,0,"yes"
41,"blue-collar","married","primary","no",193.103448275862,"yes","no",18,"nov",187,3,-1,0,"no"
37,"blue-collar","married","primary","no",0,"yes","no",26,"may",24,1,-1,0,"no"
43,"blue-collar","married","unknown","yes",-821.83908045977,"yes","no",30,"may",67,3,-1,0,"no"
48,"admin.","married","unknown","no",0,"yes","no",8,"may",85,1,168,2,"no"
27,"technician","single","secondary","no",883.908045977012,"yes","no",9,"may",317,2,-1,0,"no"
33,"management","single","tertiary","no",0,"no","no",28,"aug",236,10,-1,0,"no"
29,"admin.","single","secondary","no",491.954022988506,"yes","yes",7,"may",54,1,345,2,"no"
34,"management","single","tertiary","no",0,"no","no",5,"feb",71,1,-1,0,"no"
52,"management","married","tertiary","no",-1114.94252873563,"yes","no",4,"feb",489,1,-1,0,"yes"
60,"management","married","unknown","no",7256.32183908046,"no","no",19,"jun",39,2,-1,0,"no"
32,"management","divorced","tertiary","no",1089.65517241379,"no","no",12,"aug",204,2,-1,0,"no"
32,"management","single","tertiary","no",0,"yes","no",22,"jul",455,2,-1,0,"no"
56,"services","divorced","unknown","no",2157.47126436782,"yes","no",30,"may",86,1,-1,0,"no"
31,"management","single","tertiary","no",1004.59770114943,"yes","no",18,"nov",190,2,-1,0,"no"
42,"admin.","married","secondary","no",371.264367816092,"yes","yes",8,"may",280,2,-1,0,"no"
35,"management","married","tertiary","no",121.83908045977,"no","yes",11,"aug",588,2,-1,0,"no"
56,"retired","married","primary","no",2190.80459770115,"no","yes",19,"jun",45,9,-1,0,"no"
48,"technician","married","secondary","no",1324.13793103448,"yes","no",21,"jul",168,5,-1,0,"no"
46,"admin.","married","secondary","no",205.747126436782,"yes","no",29,"jan",194,4,436,1,"no"
37,"technician","single","unknown","no",449.425287356322,"yes","no",8,"may",103,3,-1,0,"no"
41,"entrepreneur","married","unknown","no",102.298850574713,"yes","no",6,"may",333,2,-1,0,"no"
36,"management","single","tertiary","no",508.045977011494,"yes","yes",29,"jul",102,3,-1,0,"no"
45,"unemployed","divorced","primary","yes",-286.206896551724,"yes","yes",1,"jul",92,1,-1,0,"no"
55,"entrepreneur","married","secondary","no",9314.94252873563,"no","no",6,"feb",213,2,-1,0,"no"
39,"technician","married","secondary","no",575.862068965517,"no","no",26,"may",289,1,-1,0,"no"
35,"technician","divorced","secondary","no",354.022988505747,"no","no",22,"aug",77,2,-1,0,"no"
55,"admin.","married","secondary","no",691.954022988506,"no","no",1,"jun",324,3,90,2,"yes"
55,"technician","married","secondary","no",313.793103448276,"yes","no",29,"jan",84,3,183,3,"no"
27,"self-employed","single","secondary","no",57.4712643678161,"no","no",29,"jan",168,1,-1,0,"no"
34,"technician","married","secondary","no",1886.20689655172,"yes","no",17,"apr",380,1,-1,0,"no"
34,"blue-collar","married","tertiary","no",22.9885057471264,"no","no",4,"oct",10,1,-1,0,"no"
25,"admin.","single","secondary","no",5275.86206896552,"yes","no",28,"may",199,2,-1,0,"no"
41,"admin.","single","secondary","no",-294.252873563218,"no","yes",9,"may",35,3,-1,0,"no"
43,"services","married","secondary","no",1124.13793103448,"yes","yes",26,"may",82,2,-1,0,"no"
28,"management","single","tertiary","no",91.9540229885057,"no","no",20,"oct",676,2,146,2,"yes"
31,"admin.","single","secondary","no",2418.3908045977,"yes","no",3,"jun",455,1,-1,0,"no"
78,"housemaid","married","secondary","no",573.563218390805,"no","no",16,"mar",80,4,-1,0,"no"
45,"blue-collar","divorced","secondary","no",1458.62068965517,"yes","no",29,"jan",549,2,-1,0,"no"
48,"technician","married","tertiary","no",356.32183908046,"no","no",6,"may",135,1,-1,0,"no"
32,"blue-collar","single","secondary","no",1313.79310344828,"yes","yes",10,"jul",412,1,-1,0,"no"
42,"technician","married","secondary","no",3425.28735632184,"no","no",20,"jun",101,3,-1,0,"no"
37,"management","single","tertiary","no",42.5287356321839,"no","no",28,"jan",253,2,-1,0,"no"
40,"admin.","single","secondary","no",531.034482758621,"yes","yes",6,"apr",272,1,335,4,"no"
32,"admin.","married","secondary","no",1185.05747126437,"yes","no",17,"jul",84,1,-1,0,"no"
42,"management","married","tertiary","no",10355.1724137931,"no","no",20,"nov",135,2,-1,0,"no"
43,"admin.","married","secondary","no",-534.48275862069,"yes","yes",23,"jul",166,1,-1,0,"no"
44,"admin.","married","secondary","no",5955.1724137931,"yes","yes",31,"jul",18,7,-1,0,"no"
37,"admin.","married","secondary","no",202.298850574713,"yes","no",5,"may",147,2,347,1,"no"
37,"unknown","married","unknown","no",1952.87356321839,"no","no",9,"jun",63,1,-1,0,"no"
37,"admin.","married","tertiary","no",0,"yes","no",17,"nov",65,2,119,1,"no"
28,"technician","single","tertiary","no",197.701149425287,"yes","yes",2,"feb",194,2,-1,0,"no"
32,"services","single","secondary","no",0,"no","yes",11,"jul",333,2,-1,0,"no"
34,"admin.","single","secondary","no",8021.83908045977,"yes","no",15,"may",14,5,-1,0,"no"
40,"admin.","divorced","secondary","no",6.89655172413793,"no","no",11,"jun",140,1,-1,0,"no"
34,"services","married","secondary","no",-71.2643678160919,"yes","no",16,"jun",109,3,-1,0,"no"
34,"self-employed","married","tertiary","no",2266.66666666667,"yes","no",23,"jul",61,2,-1,0,"no"
34,"admin.","married","tertiary","no",1033.33333333333,"yes","no",19,"nov",377,3,7,4,"no"
37,"services","single","secondary","no",24.1379310344828,"yes","no",2,"feb",96,1,271,2,"no"
36,"technician","married","secondary","no",26.4367816091954,"yes","no",8,"may",152,2,347,1,"no"
56,"retired","married","secondary","no",-1386.20689655172,"yes","no",15,"jun",382,2,-1,0,"yes"
49,"blue-collar","married","primary","no",0,"yes","yes",23,"jul",97,6,-1,0,"no"
33,"self-employed","married","secondary","no",247.126436781609,"yes","no",29,"jul",543,12,-1,0,"no"
30,"management","single","tertiary","no",1577.01149425287,"no","no",20,"nov",240,2,-1,0,"no"
36,"services","married","secondary","no",2277.01149425287,"no","no",17,"jun",48,2,-1,0,"no"
23,"student","single","secondary","no",10593.1034482759,"no","no",5,"jun",471,2,-1,0,"no"
57,"retired","divorced","secondary","no",44.8275862068966,"yes","no",30,"jul",354,3,-1,0,"no"
27,"blue-collar","single","secondary","no",6394.25287356322,"yes","no",30,"may",435,2,-1,0,"no"
38,"services","married","secondary","no",1.14942528735632,"no","yes",21,"nov",152,2,-1,0,"no"
42,"technician","married","tertiary","no",898.850574712644,"no","no",3,"apr",285,1,-1,0,"no"
75,"retired","married","secondary","no",4334.48275862069,"no","no",15,"apr",185,1,181,2,"yes"
34,"technician","single","tertiary","no",1140.22988505747,"yes","no",4,"may",301,1,88,2,"no"
48,"technician","married","secondary","no",1754.02298850575,"no","no",6,"aug",273,2,-1,0,"no"
35,"technician","single","tertiary","no",3055.1724137931,"yes","no",19,"aug",768,2,141,3,"yes"
39,"management","divorced","tertiary","no",1511.49425287356,"yes","no",19,"nov",1337,4,126,1,"no"
29,"blue-collar","single","tertiary","no",522.988505747126,"no","no",21,"apr",403,1,-1,0,"yes"
45,"technician","single","tertiary","no",0,"yes","no",18,"nov",139,2,-1,0,"no"
42,"technician","married","secondary","no",2333.33333333333,"yes","yes",9,"jul",196,1,-1,0,"no"
29,"technician","married","secondary","no",1837.93103448276,"yes","no",8,"jul",115,1,61,1,"no"
38,"services","single","secondary","no",-225.287356321839,"yes","no",2,"feb",60,1,271,1,"no"
56,"retired","married","secondary","no",1532.18390804598,"no","no",28,"aug",17,14,-1,0,"no"
36,"technician","single","secondary","no",10516.091954023,"yes","no",13,"aug",141,3,-1,0,"no"
25,"blue-collar","single","secondary","no",-402.298850574713,"yes","no",23,"jun",95,3,-1,0,"no"
38,"technician","married","tertiary","no",496.551724137931,"yes","no",15,"may",10,2,373,1,"no"
57,"self-employed","married","secondary","no",13211.4942528736,"no","no",19,"nov",198,1,-1,0,"no"
31,"management","married","tertiary","yes",-290.804597701149,"no","no",12,"aug",220,4,-1,0,"no"
42,"management","married","tertiary","no",427.586206896552,"yes","no",3,"aug",654,2,-1,0,"yes"
45,"technician","married","secondary","no",1620.68965517241,"no","no",11,"aug",71,2,-1,0,"no"
30,"blue-collar","married","secondary","no",1120.68965517241,"yes","no",13,"may",256,2,351,2,"no"
49,"blue-collar","married","primary","no",350.574712643678,"yes","yes",10,"jul",834,10,-1,0,"no"
49,"services","married","secondary","no",459.770114942529,"no","no",21,"aug",151,3,-1,0,"no"
53,"retired","married","tertiary","no",-25.2873563218391,"yes","no",31,"jul",20,3,-1,0,"no"
37,"technician","married","secondary","no",4632.18390804598,"yes","no",26,"may",178,5,-1,0,"no"
49,"blue-collar","married","primary","no",419.540229885057,"no","no",26,"may",59,2,-1,0,"no"
41,"self-employed","married","primary","no",234.48275862069,"no","no",13,"aug",111,7,-1,0,"no"
54,"management","married","primary","no",1943.67816091954,"yes","no",20,"nov",186,1,-1,0,"no"
32,"services","single","secondary","no",466.666666666667,"yes","no",6,"may",227,1,-1,0,"no"
33,"technician","married","secondary","no",-234.48275862069,"no","no",15,"may",297,3,-1,0,"no"
33,"technician","married","secondary","no",412.64367816092,"yes","no",20,"apr",210,1,242,1,"no"
36,"blue-collar","married","primary","no",141.379310344828,"yes","no",18,"may",9,1,-1,0,"no"
35,"technician","married","tertiary","no",0,"yes","yes",23,"sep",112,1,62,6,"no"
52,"unknown","married","secondary","no",163.218390804598,"no","no",25,"aug",112,6,-1,0,"no"
40,"entrepreneur","married","tertiary","no",4104.59770114943,"no","no",9,"jun",222,3,-1,0,"no"
44,"technician","single","secondary","no",37.9310344827586,"yes","no",13,"may",195,3,351,10,"no"
45,"blue-collar","single","secondary","no",0,"yes","no",26,"jul",768,2,91,5,"no"
30,"student","single","secondary","no",3558.62068965517,"no","no",26,"jan",123,1,-1,0,"no"
48,"technician","divorced","secondary","yes",22.9885057471264,"no","no",27,"aug",145,3,-1,0,"no"
33,"blue-collar","married","secondary","no",4110.34482758621,"yes","no",2,"apr",124,1,308,2,"no"
57,"technician","married","unknown","no",236.781609195402,"yes","no",5,"may",216,3,-1,0,"no"
57,"housemaid","married","primary","no",8140.22988505747,"no","no",6,"jun",69,3,-1,0,"no"
51,"unemployed","married","tertiary","no",1878.16091954023,"yes","no",22,"jul",168,4,-1,0,"no"
34,"admin.","single","secondary","no",1.14942528735632,"yes","no",22,"jul",483,7,-1,0,"no"
50,"self-employed","married","tertiary","no",4611.49425287356,"no","no",19,"nov",690,3,-1,0,"no"
44,"management","married","tertiary","no",4324.13793103448,"no","no",28,"aug",125,12,-1,0,"no"
27,"admin.","married","secondary","no",-283.908045977012,"yes","yes",4,"jun",344,2,-1,0,"no"
50,"blue-collar","married","secondary","no",696.551724137931,"yes","no",14,"may",673,2,-1,0,"no"
36,"management","married","tertiary","no",0,"yes","no",28,"jan",60,1,250,1,"no"
42,"management","married","secondary","no",-217.241379310345,"yes","no",12,"may",247,2,-1,0,"no"
32,"unemployed","single","secondary","no",0,"no","no",27,"may",123,2,-1,0,"no"
42,"management","married","tertiary","no",556.32183908046,"yes","no",11,"jul",144,2,-1,0,"no"
43,"technician","married","secondary","no",0,"no","yes",8,"may",9,2,172,5,"no"
31,"management","married","tertiary","no",454.022988505747,"yes","no",9,"feb",155,3,-1,0,"no"
32,"management","married","tertiary","no",2700,"no","no",14,"aug",134,5,-1,0,"no"
55,"blue-collar","divorced","primary","no",471.264367816092,"no","yes",11,"jul",221,2,-1,0,"no"
58,"retired","married","primary","no",3909.19540229885,"yes","no",3,"feb",84,3,265,2,"no"
46,"blue-collar","married","primary","no",255.172413793103,"no","no",8,"aug",71,2,-1,0,"no"
55,"blue-collar","married","secondary","no",1136.7816091954,"yes","yes",23,"may",246,4,-1,0,"no"
34,"management","married","tertiary","no",477.011494252874,"no","yes",23,"jul",361,2,-1,0,"no"
28,"unemployed","single","secondary","no",18.3908045977011,"no","no",12,"aug",119,4,-1,0,"no"
42,"technician","divorced","tertiary","no",8264.36781609195,"yes","no",29,"jul",375,2,-1,0,"no"
29,"blue-collar","single","secondary","no",554.022988505747,"no","yes",10,"jul",1097,3,-1,0,"yes"
54,"housemaid","married","secondary","no",240.229885057471,"yes","yes",25,"jul",97,1,-1,0,"no"
32,"technician","single","secondary","no",0,"no","no",26,"aug",181,2,-1,0,"no"
39,"technician","single","tertiary","no",6670.11494252874,"no","no",2,"feb",83,3,-1,0,"no"
53,"entrepreneur","married","tertiary","no",717.241379310345,"no","yes",21,"jul",180,4,-1,0,"no"
58,"technician","married","tertiary","no",1014.94252873563,"no","no",18,"aug",543,1,78,2,"no"
40,"self-employed","married","secondary","no",1742.52873563218,"yes","yes",23,"may",373,1,-1,0,"no"
29,"student","single","secondary","no",1002.29885057471,"yes","no",7,"may",230,1,-1,0,"no"
33,"technician","married","tertiary","no",-1135.63218390805,"yes","yes",15,"jul",83,3,-1,0,"no"
38,"admin.","single","secondary","no",1036.7816091954,"yes","no",31,"jul",58,13,-1,0,"no"
56,"services","divorced","secondary","no",1157.47126436782,"no","no",29,"jul",88,6,-1,0,"no"
40,"services","married","secondary","no",0,"yes","no",2,"jun",297,1,28,3,"no"
24,"blue-collar","single","secondary","no",200,"yes","yes",18,"may",487,1,-1,0,"yes"
46,"management","married","secondary","no",14006.8965517241,"no","no",20,"jun",29,3,-1,0,"no"
35,"self-employed","married","secondary","no",602.298850574713,"yes","no",21,"nov",484,4,-1,0,"no"
35,"blue-collar","single","tertiary","no",0,"yes","no",21,"jul",262,4,-1,0,"no"
34,"technician","married","secondary","no",4.59770114942529,"yes","no",15,"may",644,1,-1,0,"no"
35,"housemaid","married","tertiary","no",12895.4022988506,"no","no",12,"aug",699,2,79,1,"no"
38,"technician","single","tertiary","no",0,"no","no",28,"aug",247,2,-1,0,"no"
50,"blue-collar","married","primary","no",6639.08045977012,"no","no",18,"nov",49,3,-1,0,"no"
51,"blue-collar","divorced","primary","no",42.5287356321839,"yes","no",13,"may",341,1,-1,0,"no"
59,"self-employed","married","tertiary","no",681.609195402299,"no","no",13,"may",64,2,-1,0,"no"
32,"blue-collar","married","secondary","no",1319.54022988506,"yes","no",20,"apr",121,1,-1,0,"no"
37,"blue-collar","single","secondary","no",4093.10344827586,"yes","no",2,"jun",98,1,-1,0,"no"
42,"admin.","divorced","secondary","no",72.4137931034483,"no","no",16,"may",88,6,-1,0,"no"
40,"student","married","secondary","no",298.850574712644,"no","no",20,"jun",197,6,-1,0,"no"
28,"technician","single","tertiary","no",2608.04597701149,"yes","no",9,"may",331,1,-1,0,"no"
47,"admin.","married","secondary","no",1218.3908045977,"yes","no",6,"jun",83,3,-1,0,"no"
27,"self-employed","married","secondary","no",-252.873563218391,"yes","no",26,"may",138,2,-1,0,"no"
41,"management","married","tertiary","no",56.3218390804598,"yes","no",17,"jul",312,5,-1,0,"no"
34,"admin.","married","tertiary","no",79.3103448275862,"no","yes",4,"aug",120,3,1,6,"yes"
50,"blue-collar","married","primary","no",4721.83908045977,"yes","no",7,"aug",526,2,-1,0,"yes"
47,"blue-collar","married","secondary","no",551.724137931035,"yes","no",28,"may",211,2,-1,0,"no"
53,"services","married","secondary","no",5740.22988505747,"no","no",18,"aug",62,6,-1,0,"no"
53,"technician","divorced","secondary","no",0,"yes","yes",15,"jul",135,5,-1,0,"no"
47,"management","married","tertiary","no",4231.03448275862,"no","no",14,"aug",101,2,-1,0,"no"
49,"entrepreneur","divorced","unknown","yes",-805.747126436782,"yes","no",30,"jul",988,2,-1,0,"yes"
29,"management","married","tertiary","no",518.390804597701,"no","no",28,"jan",451,1,-1,0,"no"
45,"blue-collar","divorced","primary","no",-357.471264367816,"yes","no",23,"may",1030,1,-1,0,"yes"
